generation,individual,fitness,genotype,active_nodes
1,parent,0.1,"[ 2  6  1  5  1  0  6  6  0  9  1  0  4  1  0  6  6  2  8  3  0  3  5 16
  5  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  5  6  7  8  9 11 12 15 16 17 20 21 24 25]
1,0,0.0,"[ 2  1  3  0 13  1  9  0  0  3  1  5  1  1 17  7  6  2  2  3  6  5  5 11
  9  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  5  6  7  8  9 11 12 13 15 17 20 21 24 25]
1,1,0.0,"[ 4  0 11  1 18  0  6  9  7 10  1  0  4  1 12  7  3  2 10 19  1  3  5 11
  2  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  5  7  8  9 11 12 15 17 18 19 20 21 24 25]
1,2,0.0,"[ 2  1  9  1  1  1  6  0  8  3  1  6  9  1  0  7  0 10  3  3  0  0  5 15
  3  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  5  6  7  8  9 10 11 12 15 17 20 21 24 25]
1,3,0.0,"[ 2  1  8  2 14  0  6  0  0  3  0  0  0  9 21  7  3  2  2 18  1  3  5 14
 10  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  5  7  8  9 11 12 14 15 17 18 20 21 24 25]
1,4,0.0,"[ 2  0  1  1 20  0  6  6  0  7  1  0  3  1  0  7  3  5  2  3  6  3  5 13
  3  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  5  6  7  8  9 11 12 13 15 17 20 21 24 25]
1,5,0.0,"[ 2  1  1  1  1  0  6  7  0  8  1  0  5 16 15  7  3  2  7  3  6  3  7 15
  2  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  6  7  8  9 11 12 15 16 17 20 21 24 25]
1,6,0.0,"[ 4  5  1  1 13  0  3 11 11  7  0  0  3  1 17  3  3  3  2 18  6  1  5  0
  2  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  5  6  7  8  9 11 12 13 15 17 18 20 21 24 25]
1,7,0.0,"[ 3  1  2  2 19  1  3  8  8  7  1  0  0 10  0  7  6  8  3 12  6  0  4  0
  4  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  4  6  7  8  9 10 11 12 15 17 20 21 24 25]
1,8,0.0,"[ 2  1  1  1 15  1  6  0 11  5  0  0  0  1  0  7  3  2  9  3  0  3 10  0
  2  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  7  8  9 10 11 12 15 17 20 21 24 25]
1,9,0.0,"[ 2  1  6  5 19  0  7  8  0  3  1  0  0 16  0  7  3  2  2 18  0  3  6  0
  2  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  6  7  8  9 11 12 15 16 17 18 19 20 21 24 25]
1,10,0.0,"[ 5  1  6  1  1  0  6  0  0  3  1  6  2  7  0  7  6  3  2  3  1  3  5  0
  2  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  5  6  7  8  9 11 12 15 17 20 21 24 25]
1,11,0.0,"[ 2  1  3  3 16  0  6 11  0  3  1  1  6  1  0  7  1  8  2  3  1 10  5  0
  2  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  5  7  8  9 11 12 15 16 17 20 21 24 25]
1,12,0.0,"[ 7  1  1  1 13  1  6  4  0  4  1  0  6 14 19  4  3  3  2  3  6  3  9 11
  2  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  6  7  8  9 11 12 13 14 15 17 19 20 21 24 25]
