generation,individual,fitness,genotype,active_nodes
4,parent,0.1,"[ 2  6  2  5  1  0  6  6 10  9  1  0  4  7  0  3  3  2  8 18  0  3  2  7
  5  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  6  7  8  9 10 11 12 15 17 18 20 21 24 25]
4,0,0.0,"[ 4  6  2  5 13  1  6  5 10  0  0  0  4  7 14  9  3  2  4 18  0  3  4 11
  2  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  5  6  7  8  9 10 11 12 13 15 17 18 20 21 24 25]
4,1,0.0,"[ 4  1  2  6 17  0  6  5 10  9  1  0  4  7  0 10  1 11  8 18  0  3  2 14
  9  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  4  5  7  8  9 10 11 12 14 15 17 18 20 21 24 25]
4,2,0.0,"[ 2  6  2  2  1  1  6 11 10  9  0  0  4  7 21  0  2  2  6 14  1  3 11  8
 10  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  4  6  7  8  9 10 11 12 14 15 17 20 21 24 25]
4,3,0.0,"[ 8  2  2  8 16  1  4  6 10  9  1  4  4 11  0  7  3  2  8 21  0  3  2  9
  5  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  6  7  8  9 10 11 12 15 16 17 20 21 24 25]
4,4,0.0,"[ 4  6  9  5  1  1  6  6 10  1  1  4  2 16  0  9  3  4  8 18  1  2  2  9
  7  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  6  7  8  9 10 11 12 15 17 18 20 21 24 25]
4,5,0.0,"[ 2  6  2  5 19  0  6  3 15  9  1  2  4  7  0  7  6  2  8 17  1 10  3  7
  5  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  6  7  8  9 11 12 15 17 19 20 21 24 25]
4,6,0.0,"[ 2  5  2  4  1  0 10  6 10  7  1  0  3  7  0  3  3  2  7 21  1  3  2 15
  5  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  5  6  7  8  9 10 11 12 15 17 20 21 24 25]
4,7,0.0,"[ 2  6 10  5 15  1  7  7 11  9  1  0  4  7  0  3  0  2  0 18  1  2  2 16
  5  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  4  6  7  8  9 10 11 12 15 16 17 18 20 21 24 25]
4,8,0.0,"[ 4  4  7  5  1  0  3  6  9  9  1  0  3  7  0  3  3  5  8 19  1  3  4 15
  7  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  5  6  7  8  9 11 12 15 17 19 20 21 24 25]
